ts_code,symbol,name,area,industry,market,list_date,total_mv,circ_mv
000333.SZ,000333,美的集团,广东,家用电器,主板,20130918,54223551.437,48805639.325
000609.SZ,000609,*ST中迪,北京,区域地产,主板,19961010,79903.8944,77719.5674
000612.SZ,000612,焦作万方,河南,铝,主板,19960926,,
000668.SZ,000668,荣丰控股,山东,房产服务,主板,19961210,82231.4584,82231.4584
000858.SZ,000858,五粮液,四川,白酒,主板,19980427,52324075.9074,52322969.2264
002594.SZ,002594,比亚迪,深圳,汽车整车,主板,20110630,103686235.0722,41429985.8702
002656.SZ,002656,*ST摩登,广东,服饰,主板,20120228,,
002750.SZ,002750,*ST龙津,云南,中成药,主板,20150324,58072.5,57816.7491
002808.SZ,002808,ST恒久,江苏,元器件,主板,20160812,80371.2,55728.7302
300108.SZ,300108,*ST吉药,吉林,中成药,创业板,20100825,70597.5554,69506.2589
300117.SZ,300117,*ST嘉寓,北京,电气设备,创业板,20100902,65941.92,65941.92
300167.SZ,300167,*ST迪威,深圳,软件服务,创业板,20110125,99872.35,98820.4425
300511.SZ,300511,雪榕生物,上海,种植业,创业板,20160504,,
300750.SZ,300750,宁德时代,福建,电气设备,创业板,20180611,114822925.6992,101763058.9393
300943.SZ,300943,春晖智控,浙江,机械基件,创业板,20210210,,
301335.SZ,301335,天元宠物,浙江,文教休闲,创业板,20221118,,
600028.SH,600028,中国石化,北京,石油加工,主板,20010808,69494331.415,54344365.6396
600036.SH,600036,招商银行,深圳,银行,主板,20020409,109882867.2836,89880310.8772
600070.SH,600070,*ST富润,浙江,互联网,主板,19970604,54801.4391,54801.4391
600114.SH,600114,东睦股份,浙江,机械基件,主板,20040511,,
600462.SH,600462,*ST九有,湖北,广告包装,主板,20030903,85774.12,83464.635
600519.SH,600519,贵州茅台,贵州,白酒,主板,20010827,191067685.38,191067685.38
600539.SH,600539,狮头股份,山西,互联网,主板,20010824,,
600900.SH,600900,长江电力,北京,水力发电,主板,20031118,66700361.4938,65443781.2272
600938.SH,600938,中国海油,北京,石油开采,主板,20220421,118349585.4202,7076211.114
600941.SH,600941,中国移动,北京,电信运营,主板,20220105,234173175.5303,9803156.2678
601088.SH,601088,中国神华,北京,煤炭开采,主板,20071009,71308118.1185,59186335.2205
601288.SH,601288,农业银行,北京,银行,主板,20100715,178491347.2752,162814547.4963
601318.SH,601318,中国平安,深圳,保险,主板,20070301,93782708.2261,55427687.1293
601328.SH,601328,交通银行,上海,银行,主板,20070515,53246375.0045,28142869.4988
601398.SH,601398,工商银行,北京,银行,主板,20061027,242356254.8205,183336304.5265
601628.SH,601628,中国人寿,北京,保险,主板,20070109,109610525.99,80753649.34
601658.SH,601658,邮储银行,北京,银行,主板,20191210,52654531.3762,35641991.8512
601728.SH,601728,中国电信,北京,电信运营,主板,20210820,75218868.0106,63811636.9906
601857.SH,601857,中国石油,北京,石油开采,主板,20071105,140743131.942,124518077.842
601939.SH,601939,建设银行,北京,银行,主板,20070925,212509330.8631,8154608.9651
601988.SH,601988,中国银行,北京,银行,主板,20060705,159263795.0614,114024143.5317
603963.SH,603963,*ST大药,云南,中成药,主板,20170922,,
688021.SH,688021,奥福环保,山东,汽车配件,科创板,20191106,89633.29,89633.29
688037.SH,688037,芯源微,辽宁,半导体,科创板,20191216,,
688126.SH,688126,沪硅产业,上海,半导体,科创板,20200420,,
688195.SH,688195,腾景科技,福建,元器件,科创板,20210326,,
688209.SH,688209,英集芯,深圳,半导体,科创板,20220419,,
688339.SH,688339,亿华通-U,北京,汽车配件,科创板,20200810,,
688593.SH,688593,新相微,上海,半导体,科创板,20230601,,
688701.SH,688701,卓锦股份,浙江,环境保护,科创板,20210916,86743.1823,86743.1823
688981.SH,688981,中芯国际,上海,半导体,科创板,20200716,77321237.9532,19263223.2418
